platform_id	platform_name	os	version	uv	hp_cal_dt
2	主APP	ios	1.0.0	0	2017-02-25
2	主APP	ios	1.0.1	0	2017-02-25
2	主APP	ios	1.0.3	1	2017-02-25
2	主APP	ios	1.1.0	60	2017-02-25
2	主APP	ios	2.2.0	0	2017-02-25
2	主APP	ios	3.0.0	0	2017-02-25
2	主APP	ios	3.1.0	0	2017-02-25
2	主APP	ios	3.1.1	0	2017-02-25
2	主APP	ios	4.0.0	1	2017-02-25
2	主APP	ios	4.1.0	1	2017-02-25
2	主APP	ios	4.1.2	2	2017-02-25
2	主APP	ios	4.2.0	1	2017-02-25
2	主APP	ios	4.3.0	1	2017-02-25
2	主APP	ios	4.4.0	0	2017-02-25
2	主APP	ios	4.5.0	1	2017-02-25
2	主APP	ios	4.6.0	2	2017-02-25
2	主APP	ios	4.6.1	1	2017-02-25
2	主APP	ios	4.7.0	1	2017-02-25
2	主APP	ios	4.7.1	1	2017-02-25
2	主APP	ios	4.8.0	1	2017-02-25
2	主APP	ios	4.8.1	0	2017-02-25
2	主APP	ios	4.8.2	1	2017-02-25
2	主APP	ios	4.9.0	2	2017-02-25
2	主APP	ios	4.9.10	0	2017-02-25
2	主APP	ios	4.9.11	0	2017-02-25
2	主APP	ios	4.9.12	0	2017-02-25
2	主APP	ios	4.9.9	0	2017-02-25
2	主APP	ios	5.0.0	2	2017-02-25
2	主APP	ios	5.1.0	2	2017-02-25
2	主APP	ios	5.2.0	3	2017-02-25
2	主APP	ios	5.2.1	1	2017-02-25
2	主APP	ios	5.3.0	0	2017-02-25
2	主APP	ios	5.3.1	4	2017-02-25
2	主APP	ios	5.4.0	2	2017-02-25
2	主APP	ios	5.4.5	5	2017-02-25
2	主APP	ios	5.5.0	2	2017-02-25
2	主APP	ios	5.5.1	4	2017-02-25
2	主APP	ios	5.6.0	6	2017-02-25
2	主APP	ios	5.7.0	2	2017-02-25
2	主APP	ios	5.8.1	5	2017-02-25
2	主APP	ios	5.8.2	7	2017-02-25
2	主APP	ios	5.9.0	10	2017-02-25
2	主APP	ios	5.9.5	23	2017-02-25
2	主APP	ios	6.0.0	1	2017-02-25
2	主APP	ios	6.0.1	24	2017-02-25
2	主APP	ios	6.0.2	0	2017-02-25
2	主APP	ios	6.1.0	28	2017-02-25
2	主APP	ios	6.2.0	5	2017-02-25
2	主APP	ios	6.2.1	24	2017-02-25
2	主APP	ios	6.3.0	57	2017-02-25
2	主APP	ios	6.4.0	27	2017-02-25
2	主APP	ios	6.4.1	18	2017-02-25
2	主APP	ios	6.5.0	25	2017-02-25
2	主APP	ios	6.5.1	32	2017-02-25
2	主APP	ios	6.6.0	24	2017-02-25
2	主APP	ios	6.6.5	71	2017-02-25
2	主APP	ios	6.7.0	51	2017-02-25
2	主APP	ios	6.7.5	76	2017-02-25
2	主APP	ios	6.8.0	56	2017-02-25
2	主APP	ios	6.8.5	205	2017-02-25
2	主APP	ios	6.9.0	180	2017-02-25
2	主APP	ios	6.9.5	371	2017-02-25
2	主APP	ios	6.9.7	243	2017-02-25
2	主APP	ios	6.9.8	237	2017-02-25
2	主APP	ios	7.0.0	136	2017-02-25
2	主APP	ios	7.0.1	571	2017-02-25
2	主APP	ios	7.0.2	356	2017-02-25
2	主APP	ios	7.1.0	603	2017-02-25
2	主APP	ios	7.2.0	627	2017-02-25
2	主APP	ios	7.5.0	572	2017-02-25
2	主APP	ios	7.5.1	1856	2017-02-25
2	主APP	ios	7.5.3	0	2017-02-25
2	主APP	ios	7.6.0	3139	2017-02-25
2	主APP	ios	7.7.0	886	2017-02-25
2	主APP	ios	7.8.0	1213	2017-02-25
2	主APP	ios	7.8.1	920	2017-02-25
2	主APP	ios	7.8.2	3590	2017-02-25
2	主APP	ios	7.9.0	9899	2017-02-25
2	主APP	ios	7.9.2	14082	2017-02-25
2	主APP	ios	7.9.4	7305	2017-02-25
2	主APP	ios	7.9.6	7114	2017-02-25
2	主APP	ios	7.9.8	8152	2017-02-25
2	主APP	ios	8.0.0	4925	2017-02-25
2	主APP	ios	8.0.1	8562	2017-02-25
2	主APP	ios	8.0.2	7219	2017-02-25
2	主APP	ios	8.0.4	6457	2017-02-25
2	主APP	ios	8.0.5	14634	2017-02-25
2	主APP	ios	8.0.6	13115	2017-02-25
2	主APP	ios	8.0.8	21335	2017-02-25
2	主APP	ios	8.1.0	27984	2017-02-25
2	主APP	ios	8.1.2	44709	2017-02-25
2	主APP	ios	8.1.4	37896	2017-02-25
2	主APP	ios	8.1.6	33883	2017-02-25
2	主APP	ios	9.0.0	7939	2017-02-25
2	主APP	ios	9.0.1	256070	2017-02-25
2	主APP	ios	9.0.2	131020	2017-02-25
2	主APP	ios	9.0.4	55615	2017-02-25
2	主APP	ios	9.0.6	90056	2017-02-25
2	主APP	ios	9.0.8	68005	2017-02-25
2	主APP	ios	9.1.0	131644	2017-02-25
2	主APP	ios	9.1.10	0	2017-02-25
2	主APP	ios	9.1.11	1	2017-02-25
2	主APP	ios	9.1.2	628805	2017-02-25
2	主APP	ios	9.1.6	4785222	2017-02-25
2	主APP	ios	9.1.7	0	2017-02-25
2	主APP	ios	9.1.8	36	2017-02-25
2	主APP	ios	9.1.9	0	2017-02-25
2	主APP	ios	1.0.0	0	2017-02-18
2	主APP	ios	1.0.1	1	2017-02-18
2	主APP	ios	1.0.3	0	2017-02-18
2	主APP	ios	1.1.0	72	2017-02-18
2	主APP	ios	2.2.0	0	2017-02-18
2	主APP	ios	3.0.0	0	2017-02-18
2	主APP	ios	3.1.1	2	2017-02-18
2	主APP	ios	4.0.0	1	2017-02-18
2	主APP	ios	4.1.0	0	2017-02-18
2	主APP	ios	4.1.2	0	2017-02-18
2	主APP	ios	4.2.0	0	2017-02-18
2	主APP	ios	4.3.0	2	2017-02-18
2	主APP	ios	4.4.0	0	2017-02-18
2	主APP	ios	4.5.0	2	2017-02-18
2	主APP	ios	4.6.0	1	2017-02-18
2	主APP	ios	4.6.1	0	2017-02-18
2	主APP	ios	4.7.0	1	2017-02-18
2	主APP	ios	4.7.1	4	2017-02-18
2	主APP	ios	4.8.0	2	2017-02-18
2	主APP	ios	4.8.1	2	2017-02-18
2	主APP	ios	4.8.2	1	2017-02-18
2	主APP	ios	4.9.0	2	2017-02-18
2	主APP	ios	4.9.11	0	2017-02-18
2	主APP	ios	4.9.12	0	2017-02-18
2	主APP	ios	4.9.9	0	2017-02-18
2	主APP	ios	5.0.0	2	2017-02-18
2	主APP	ios	5.1.0	3	2017-02-18
2	主APP	ios	5.2.0	4	2017-02-18
2	主APP	ios	5.2.1	0	2017-02-18
2	主APP	ios	5.3.0	1	2017-02-18
2	主APP	ios	5.3.1	3	2017-02-18
2	主APP	ios	5.4.0	5	2017-02-18
2	主APP	ios	5.4.5	5	2017-02-18
2	主APP	ios	5.5.0	2	2017-02-18
2	主APP	ios	5.5.1	3	2017-02-18
2	主APP	ios	5.6.0	8	2017-02-18
2	主APP	ios	5.7.0	6	2017-02-18
2	主APP	ios	5.8.1	2	2017-02-18
2	主APP	ios	5.8.2	5	2017-02-18
2	主APP	ios	5.9.0	7	2017-02-18
2	主APP	ios	5.9.5	12	2017-02-18
2	主APP	ios	6.0.0	0	2017-02-18
2	主APP	ios	6.0.1	23	2017-02-18
2	主APP	ios	6.0.2	2	2017-02-18
2	主APP	ios	6.1.0	27	2017-02-18
2	主APP	ios	6.2.0	6	2017-02-18
2	主APP	ios	6.2.1	15	2017-02-18
