platform_id	platform_name	os	version	uv	hp_cal_dt
2	主APP	ios	1.0.0	1	2016-12-20 
2	主APP	ios	1.0.1	0	2016-12-20 
2	主APP	ios	1.0.3	0	2016-12-20 
2	主APP	ios	1.1.0	30	2016-12-20 
2	主APP	ios	2.2.0	0	2016-12-20 
2	主APP	ios	3.0.0	1	2016-12-20 
2	主APP	ios	3.1.0	0	2016-12-20 
2	主APP	ios	3.1.1	0	2016-12-20 
2	主APP	ios	4.0.0	1	2016-12-20 
2	主APP	ios	4.1.0	0	2016-12-20 
2	主APP	ios	4.1.2	1	2016-12-20 
2	主APP	ios	4.2.0	3	2016-12-20 
2	主APP	ios	4.3.0	0	2016-12-20 
2	主APP	ios	4.5.0	2	2016-12-20 
2	主APP	ios	4.6.0	0	2016-12-20 
2	主APP	ios	4.6.1	3	2016-12-20 
2	主APP	ios	4.7.0	1	2016-12-20 
2	主APP	ios	4.7.1	1	2016-12-20 
2	主APP	ios	4.7.2	0	2016-12-20 
2	主APP	ios	4.8.0	1	2016-12-20 
2	主APP	ios	4.8.1	6	2016-12-20 
2	主APP	ios	4.8.2	2	2016-12-20 
2	主APP	ios	4.9.0	2	2016-12-20 
2	主APP	ios	4.9.10	0	2016-12-20 
2	主APP	ios	4.9.11	1	2016-12-20 
2	主APP	ios	4.9.12	0	2016-12-20 
2	主APP	ios	5.0.0	6	2016-12-20 
2	主APP	ios	5.1.0	5	2016-12-20 
2	主APP	ios	5.2.0	3	2016-12-20 
2	主APP	ios	5.2.1	0	2016-12-20 
2	主APP	ios	5.3.0	0	2016-12-20 
2	主APP	ios	5.3.1	14	2016-12-20 
2	主APP	ios	5.4.0	7	2016-12-20 
2	主APP	ios	5.4.5	22	2016-12-20 
2	主APP	ios	5.5.0	5	2016-12-20 
2	主APP	ios	5.5.1	6	2016-12-20 
2	主APP	ios	5.6.0	12	2016-12-20 
2	主APP	ios	5.7.0	13	2016-12-20 
2	主APP	ios	5.8.1	5	2016-12-20 
2	主APP	ios	5.8.2	15	2016-12-20 
2	主APP	ios	5.9.0	9	2016-12-20 
2	主APP	ios	5.9.5	17	2016-12-20 
2	主APP	ios	6.0.0	2	2016-12-20 
2	主APP	ios	6.0.1	32	2016-12-20 
2	主APP	ios	6.0.2	2	2016-12-20 
2	主APP	ios	6.1.0	19	2016-12-20 
2	主APP	ios	6.2.0	5	2016-12-20 
2	主APP	ios	6.2.1	18	2016-12-20 
2	主APP	ios	6.3.0	55	2016-12-20 
2	主APP	ios	6.4.0	25	2016-12-20 
2	主APP	ios	6.4.1	26	2016-12-20 
2	主APP	ios	6.5.0	38	2016-12-20 
2	主APP	ios	6.5.1	58	2016-12-20 
2	主APP	ios	6.6.0	27	2016-12-20 
2	主APP	ios	6.6.5	84	2016-12-20 
2	主APP	ios	6.7.0	63	2016-12-20 
2	主APP	ios	6.7.5	83	2016-12-20 
2	主APP	ios	6.8.0	71	2016-12-20 
2	主APP	ios	6.8.5	264	2016-12-20 
2	主APP	ios	6.9.0	183	2016-12-20 
2	主APP	ios	6.9.5	437	2016-12-20 
2	主APP	ios	6.9.7	368	2016-12-20 
2	主APP	ios	6.9.8	346	2016-12-20 
2	主APP	ios	7.0.0	167	2016-12-20 
2	主APP	ios	7.0.1	866	2016-12-20 
2	主APP	ios	7.0.2	549	2016-12-20 
2	主APP	ios	7.1.0	833	2016-12-20 
2	主APP	ios	7.2.0	896	2016-12-20 
2	主APP	ios	7.5.0	587	2016-12-20 
2	主APP	ios	7.5.1	1871	2016-12-20 
2	主APP	ios	7.5.3	0	2016-12-20 
2	主APP	ios	7.6.0	3558	2016-12-20 
2	主APP	ios	7.7.0	961	2016-12-20 
2	主APP	ios	7.8.0	1100	2016-12-20 
2	主APP	ios	7.8.1	871	2016-12-20 
2	主APP	ios	7.8.2	3425	2016-12-20 
2	主APP	ios	7.9.0	9801	2016-12-20 
2	主APP	ios	7.9.2	15448	2016-12-20 
2	主APP	ios	7.9.4	8866	2016-12-20 
2	主APP	ios	7.9.6	9123	2016-12-20 
2	主APP	ios	7.9.8	10292	2016-12-20 
2	主APP	ios	8.0.0	5864	2016-12-20 
2	主APP	ios	8.0.1	10054	2016-12-20 
2	主APP	ios	8.0.2	8640	2016-12-20 
2	主APP	ios	8.0.4	7840	2016-12-20 
2	主APP	ios	8.0.5	18270	2016-12-20 
2	主APP	ios	8.0.6	13769	2016-12-20 
2	主APP	ios	8.0.8	23870	2016-12-20 
2	主APP	ios	8.1.0	30073	2016-12-20 
2	主APP	ios	8.1.2	48954	2016-12-20 
2	主APP	ios	8.1.4	45253	2016-12-20 
2	主APP	ios	8.1.6	41722	2016-12-20 
2	主APP	ios	9.0.0	10523	2016-12-20 
2	主APP	ios	9.0.1	160734	2016-12-20 
2	主APP	ios	9.0.2	188239	2016-12-20 
2	主APP	ios	9.0.4	100818	2016-12-20 
2	主APP	ios	9.0.6	279685	2016-12-20 
2	主APP	ios	9.0.8	1357252	2016-12-20 
2	主APP	ios	9.1.0	2617677	2016-12-20 
2	主APP	ios	9.1.2	53	2016-12-20 
2	主APP	ios	9.9.9	0	2016-12-20 
2	主APP	ios	1.0.0	1	2016-12-24 
2	主APP	ios	1.0.1	0	2016-12-24 
2	主APP	ios	1.0.3	0	2016-12-24 
2	主APP	ios	1.1.0	33	2016-12-24 
2	主APP	ios	2.2.0	0	2016-12-24 
2	主APP	ios	3.0.0	0	2016-12-24 
2	主APP	ios	3.1.0	0	2016-12-24 
2	主APP	ios	3.1.1	0	2016-12-24 
2	主APP	ios	4.0.0	0	2016-12-24 
2	主APP	ios	4.1.0	0	2016-12-24 
2	主APP	ios	4.1.2	3	2016-12-24 
2	主APP	ios	4.2.0	4	2016-12-24 
2	主APP	ios	4.3.0	2	2016-12-24 
2	主APP	ios	4.5.0	1	2016-12-24 
2	主APP	ios	4.6.0	2	2016-12-24 
2	主APP	ios	4.6.1	6	2016-12-24 
2	主APP	ios	4.7.0	4	2016-12-24 
2	主APP	ios	4.7.1	2	2016-12-24 
2	主APP	ios	4.7.2	0	2016-12-24 
2	主APP	ios	4.8.0	0	2016-12-24 
2	主APP	ios	4.8.1	5	2016-12-24 
2	主APP	ios	4.8.2	4	2016-12-24 
2	主APP	ios	4.9.0	6	2016-12-24 
